0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
자치구별(1),자치구별(2),2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
자치구별(1),자치구별(2),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명)
자치구별(1),자치구별(2),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%)
합계,서대문구,84394,23,82277,22.5,79453,21.9,76913,21.6,74699,21.2,72501,20.8,71082,20.4,69412,19.9,64916,19.6,62257,19,58861,18.1,55154,17.5,53463,17,51392,16.4,48613,15.7,47787,15.3,46872,14.9,45168,14.4,43313,14,41516,13.4,40673,13,38680,12.7,38122,12.4
합계,마포구,86218,22.3,81903,21.6,78980,21,78699,20.7,78385,20.4,77773,20,76787,19.7,76462,19.5,74096,19.2,72463,18.9,71948,18.4,69704,17.9,67295,17.5,64762,17,63403,16.4,62031,16,59413,15.6,56912,15.2,54840,14.6,52329,14,49806,13.4,48288,13.1,45926,12.6
합계,양천구,134002,27.5,130085,26.9,128203,26.5,127602,26.2,128222,25.9,127243,25.5,126321,25.2,124489,24.7,121759,24.2,119156,23.8,114354,22.9,111408,22.3,106959,21.6,102581,20.8,97847,20.1,95096,19.6,91325,19.1,87649,18.6,83574,18,79612,17.4,77043,17,74110,16.6,70967,16.1
합계,강서구,137493,26.4,131806,25.3,128511,24.3,127441,23.7,125527,23.2,125800,22.7,123331,22.2,121721,21.7,122840,21.3,118819,20.7,113854,19.8,108626,19.1,104882,18.5,101645,17.9,101978,17.4,99368,16.9,97567,16.4,94596,15.7,90328,15.1,85128,14.4,78957,13.6,75297,13.1,71889,12.6
합계,구로구,100349,24.9,99716,24,95967,23.2,93491,22.6,92105,22.1,89730,21.5,88495,21.1,86868,20.7,84927,20.2,83069,19.7,80676,19,79737,18.7,77775,18.2,75024,17.7,72965,17.1,70553,16.7,67297,16.1,63860,15.6,60006,14.8,57914,14.2,54779,13.5,51858,13.1,49929,12.6
합계,금천구,68024,25.5,63953,24.6,62144,23.8,60413,23.1,58990,22.7,56906,22.2,54806,21.6,52236,21,49977,20.2,47532,19.4,44495,18.1,42067,17.3,40301,16.6,38061,15.8,36015,15.1,34335,14.5,32708,13.9,31155,13.3,29249,12.5,27278,11.7,25307,10.9,23911,10.4,22618,9.8
합계,영등포구,97138,23.9,93848,23.1,91615,22.4,87991,21.8,86877,21.4,84919,20.8,82810,20.3,81513,20,79513,19.5,76798,18.9,73342,18,68915,17.3,65644,16.8,62286,16.1,58951,15.4,56650,15,53716,14.5,51334,13.9,49014,13.3,46796,12.7,46945,12.4,45676,12.1,44418,11.8
합계,동작구,94328,22.7,88803,21.9,85480,21.2,84911,20.7,83947,20.4,82350,20.1,80361,19.7,78683,19.4,76193,19,73523,18.5,71488,17.8,69052,17.2,67929,16.8,66461,16.2,63883,15.7,61193,15.3,59361,14.8,56559,14.3,54282,13.7,51741,13.1,48715,12.5,46670,12.1,44603,11.7
합계,관악구,116376,22.2,111839,21.2,105754,20.3,102407,19.6,101955,19.2,99395,18.8,97719,18.3,95214,17.8,92093,17.2,88283,16.7,84218,15.8,80428,15.3,77116,14.7,73260,14.1,69773,13.6,66334,13,62759,12.4,58893,11.7,54900,10.9,50933,10.2,46737,9.4,43185,8.9,40626,8.3
합계,서초구,90778,22.8,87844,22.3,85921,22.1,86794,22,87274,21.8,86294,21.5,87009,21.3,85554,21.1,84692,20.8,88320,20.8,88332,20.3,87199,20.1,86872,20,87942,19.9,89006,19.8,87050,19.5,85193,19.1,82095,18.6,79380,18.3,76676,17.8,74581,17.5,71970,17.5,69397,17.2
합계,강남구,128447,23.3,123294,22.8,120488,22.5,118743,22.4,117121,22,115908,21.4,118109,21.2,117069,20.9,114112,20.5,114092,20.3,113435,19.9,110485,19.5,107630,19.1,104985,18.6,106320,18.4,104806,18.2,100833,17.8,96743,17.4,93240,17.2,91541,16.8,89667,16.6,88247,16.6,86478,16.3
합계,송파구,173724,26.2,165964,25.3,159322,24.6,149492,24.1,143354,23.7,139846,23.1,136309,22.5,137072,22,144655,21.6,144427,21.2,140737,20.5,136677,20,132007,19.6,127875,19.1,123693,18.6,119209,18.1,114692,17.4,113291,17.1,109541,16.4,107298,15.9,103087,15.4,100136,15.2,98462,14.9
합계,강동구,132908,26.8,125788,25.7,120103,24.9,116158,24.3,111949,23.8,107382,23.1,103899,22.5,101460,21.8,99034,21.1,100086,20.6,97422,19.8,95649,19.3,91834,18.8,87875,18.2,83693,17.6,78038,17,72745,16.4,70082,16.1,66371,15.5,65586,15,69332,15.1,69161,14.9,67648,14.7
